测试名称,消息数,字节数,持续时间(秒),平均吞吐量(MB/s),平均延迟(ms),最小延迟(ms),最大延迟(ms),P50延迟(ms),P90延迟(ms),P99延迟(ms),内存使用(MB),CPU使用(%),错误数,重试数
长时间稳定性测试 (3m0s, 5连接),2323,108554718,181.85,0.57,0.00,0.00,0.00,0.00,0.00,0.00,446.13,0.00,357,0
错误恢复测试 (2m0s, 错误率:1/30),6929,185860254,120.42,1.47,0.00,0.00,0.00,0.00,0.00,0.00,3829.16,0.00,137,0
