测试名称,消息数,字节数,持续时间(秒),平均吞吐量(MB/s),平均延迟(ms),最小延迟(ms),最大延迟(ms),P50延迟(ms),P90延迟(ms),P99延迟(ms),内存使用(MB),CPU使用(%),错误数,重试数
小消息吞吐量测试 (256字节, 2并发),20,5120,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
小消息吞吐量测试 (512字节, 5并发),250,128000,0.13,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
中等消息吞吐量测试 (50KB, 3并发),60,3072000,0.12,24.36,0.05,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0,0
大消息吞吐量测试 (1MB, 2并发),10,10485760,0.13,79.89,1.20,0.00,2.00,1.00,2.00,2.00,0.00,0.00,0,0
超大消息吞吐量测试 (5MB, 1并发),2,10485760,0.13,78.89,5.00,4.00,6.00,4.00,4.00,4.00,0.00,0.00,0,0
