测试名称,消息数,字节数,持续时间(秒),平均吞吐量(MB/s),平均延迟(ms),最小延迟(ms),最大延迟(ms),P50延迟(ms),P90延迟(ms),P99延迟(ms),内存使用(MB),CPU使用(%),错误数,重试数
低负载延迟测试 (1KB, 100ms间隔),298,305152,32.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0,0
中等负载延迟测试 (10KB, 50ms间隔),588,6021120,32.08,0.18,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0,0
高负载延迟测试 (100KB, 10ms间隔),2711,277606400,32.12,8.24,0.00,0.00,1.00,0.00,0.00,0.00,3.34,0.00,0,0
大消息延迟测试 (1MB, 500ms间隔),120,125829120,61.95,1.94,1.22,0.00,4.00,1.00,2.00,3.00,6.79,0.00,0,0
大消息延迟测试 (2MB, 500ms间隔),120,251658240,62.07,3.87,2.25,1.00,4.00,2.00,3.00,3.00,10.11,0.00,0,0
